ticker,earn_date,quarter
ISP.MI,2023-02-03,Q4_2022
ISP.MI,2023-05-05,Q1_2023
ISP.MI,2023-08-04,Q2_2023
ISP.MI,2023-11-03,Q3_2023
ISP.MI,2024-02-06,Q4_2023
ISP.MI,2024-05-07,Q1_2024
ISP.MI,2024-07-26,Q2_2024
ISP.MI,2024-11-05,Q3_2024
ISP.MI,2025-02-03,Q4_2024
ISP.MI,2025-05-06,Q1_2025
ISP.MI,2025-07-30,Q2_2025
ISP.MI,2025-10-30,Q3_2025
ISP.MI,2026-02-02,Q4_2025
UCG.MI,2023-02-09,Q4_2022
UCG.MI,2023-05-04,Q1_2023
UCG.MI,2023-08-03,Q2_2023
UCG.MI,2023-11-09,Q3_2023
UCG.MI,2024-02-07,Q4_2023
UCG.MI,2024-05-08,Q1_2024
UCG.MI,2024-07-31,Q2_2024
UCG.MI,2024-11-06,Q3_2024
UCG.MI,2025-02-12,Q4_2024
UCG.MI,2025-05-07,Q1_2025
UCG.MI,2025-07-23,Q2_2025
UCG.MI,2025-11-05,Q3_2025
UCG.MI,2026-02-06,Q4_2025
